Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,19-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
2,20-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
3,21-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
4,22-03-2020,6:00 PM,Chandigarh,5,0,0,0,5
5,23-03-2020,6:00 PM,Chandigarh,6,0,0,0,6
6,24-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
7,25-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
8,26-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
9,27-03-2020,10:00 AM,Chandigarh,7,0,0,0,7
10,28-03-2020,6:00 PM,Chandigarh,8,0,0,0,8
11,29-03-2020,7:30 PM,Chandigarh,-,-,0,0,8
12,30-03-2020,9:30 PM,Chandigarh,-,-,0,0,8
13,31-03-2020,8:30 PM,Chandigarh,-,-,0,0,13
14,01-04-2020,7:30 PM,Chandigarh,-,-,0,0,16
15,02-04-2020,6:00 PM,Chandigarh,-,-,0,0,16
16,03-04-2020,6:00 PM,Chandigarh,-,-,0,0,18
17,04-04-2020,6:00 PM,Chandigarh,-,-,0,0,18
18,05-04-2020,6:00 PM,Chandigarh,-,-,0,0,18
19,06-04-2020,6:00 PM,Chandigarh,-,-,0,0,18
20,07-04-2020,6:00 PM,Chandigarh,-,-,7,0,18
21,08-04-2020,5:00 PM,Chandigarh,-,-,7,0,18
22,09-04-2020,5:00 PM,Chandigarh,-,-,7,0,18
23,10-04-2020,5:00 PM,Chandigarh,-,-,7,0,18
24,11-04-2020,5:00 PM,Chandigarh,-,-,7,0,18
25,12-04-2020,5:00 PM,Chandigarh,-,-,7,0,19
26,13-04-2020,5:00 PM,Chandigarh,-,-,7,0,21
27,14-04-2020,5:00 PM,Chandigarh,-,-,7,0,21
28,15-04-2020,5:00 PM,Chandigarh,-,-,7,0,21
29,16-04-2020,5:00 PM,Chandigarh,-,-,7,0,21
30,17-04-2020,5:00 PM,Chandigarh,-,-,9,0,21
31,18-04-2020,5:00 PM,Chandigarh,-,-,9,0,21
32,19-04-2020,5:00 PM,Chandigarh,-,-,10,0,23
33,20-04-2020,5:00 PM,Chandigarh,-,-,13,0,26
34,21-04-2020,5:00 PM,Chandigarh,-,-,13,0,26
35,22-04-2020,5:00 PM,Chandigarh,-,-,14,0,27
36,23-04-2020,5:00 PM,Chandigarh,-,-,14,0,27
37,24-04-2020,5:00 PM,Chandigarh,-,-,14,0,27
38,25-04-2020,5:00 PM,Chandigarh,-,-,15,0,28
39,26-04-2020,5:00 PM,Chandigarh,-,-,17,0,30
40,27-04-2020,5:00 PM,Chandigarh,-,-,17,0,30
41,28-04-2020,5:00 PM,Chandigarh,-,-,17,0,40
42,29-04-2020,5:00 PM,Chandigarh,-,-,17,0,56
43,30-04-2020,5:00 PM,Chandigarh,-,-,17,0,56
44,01-05-2020,5:00 PM,Chandigarh,-,-,17,0,56
45,02-05-2020,5:00 PM,Chandigarh,-,-,17,0,88
46,03-05-2020,5:00 PM,Chandigarh,-,-,19,0,94
47,04-05-2020,5:00 PM,Chandigarh,-,-,19,0,94
48,05-05-2020,5:00 PM,Chandigarh,-,-,21,1,102
49,06-05-2020,8:00 AM,Chandigarh,-,-,21,1,111
50,07-05-2020,8:00 AM,Chandigarh,-,-,21,1,120
51,08-05-2020,8:00 AM,Chandigarh,-,-,21,1,135
52,09-05-2020,8:00 AM,Chandigarh,-,-,21,1,150
53,10-05-2020,8:00 AM,Chandigarh,-,-,24,2,169
54,11-05-2020,8:00 AM,Chandigarh,-,-,24,2,169
55,12-05-2020,8:00 AM,Chandigarh,-,-,24,2,174
56,13-05-2020,8:00 AM,Chandigarh,-,-,28,3,187
57,14-05-2020,8:00 AM,Chandigarh,-,-,28,3,187
58,15-05-2020,8:00 AM,Chandigarh,-,-,37,3,191
59,16-05-2020,8:00 AM,Chandigarh,-,-,37,3,191
60,17-05-2020,8:00 AM,Chandigarh,-,-,51,3,191
61,18-05-2020,8:00 AM,Chandigarh,-,-,51,3,191
62,19-05-2020,8:00 AM,Chandigarh,-,-,54,3,196
63,20-05-2020,8:00 AM,Chandigarh,-,-,57,3,200
64,21-05-2020,8:00 AM,Chandigarh,-,-,57,3,202
65,22-05-2020,8:00 AM,Chandigarh,-,-,139,3,217
66,23-05-2020,8:00 AM,Chandigarh,-,-,178,3,218
67,24-05-2020,8:00 AM,Chandigarh,-,-,179,3,225
68,25-05-2020,8:00 AM,Chandigarh,-,-,186,3,238
69,26-05-2020,8:00 AM,Chandigarh,-,-,186,3,238
70,27-05-2020,8:00 AM,Chandigarh,-,-,187,4,266
71,28-05-2020,8:00 AM,Chandigarh,-,-,187,4,279
72,29-05-2020,8:00 AM,Chandigarh,-,-,189,4,288
73,30-05-2020,8:00 AM,Chandigarh,-,-,189,4,289
74,31-05-2020,8:00 AM,Chandigarh,-,-,189,4,289
75,01-06-2020,8:00 AM,Chandigarh,-,-,199,4,293
76,02-06-2020,8:00 AM,Chandigarh,-,-,199,4,294
77,03-06-2020,8:00 AM,Chandigarh,-,-,214,5,301
78,04-06-2020,8:00 AM,Chandigarh,-,-,214,5,301
79,05-06-2020,8:00 AM,Chandigarh,-,-,214,5,301
80,06-06-2020,8:00 AM,Chandigarh,-,-,222,5,304
81,07-06-2020,8:00 AM,Chandigarh,-,-,273,5,309
82,08-06-2020,8:00 AM,Chandigarh,-,-,273,5,314
83,09-06-2020,8:00 AM,Chandigarh,-,-,273,5,317
84,10-06-2020,8:00 AM,Chandigarh,-,-,286,5,323
85,11-06-2020,8:00 AM,Chandigarh,-,-,286,5,327
86,12-06-2020,8:00 AM,Chandigarh,-,-,286,5,332
87,13-06-2020,8:00 AM,Chandigarh,-,-,286,5,334
88,14-06-2020,8:00 AM,Chandigarh,-,-,286,5,345
89,15-06-2020,8:00 AM,Chandigarh,-,-,293,5,352
90,16-06-2020,8:00 AM,Chandigarh,-,-,296,6,354
91,17-06-2020,8:00 AM,Chandigarh,-,-,302,6,358
